FILE_NAME,FIELD_NAME,GOLD,EXTRACTED,RESULT,REASON
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,product,QUAM ACCUSANTIUM MINUS,QUAM ACCUSANTIUM MINUS,TP,EXTRACT_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,quantity,91936.00,"91,936","FP,FN",FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,total_amount,678500.46,"678,500.46","FP,FN",FAIL_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,supplier_name,JENKINS-HAMPTON,JENKINS-HAMPTON,TP,EXTRACT_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,invoice_number,67080072,67080072,TP,EXTRACT_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,email,credit@iqulfoil.com,credit@iqulfoil.com,TP,EXTRACT_MODEL
0025c002-4ec2-4c6a-ac40-b1cb4d14cb18_1526302796_1.html,invoice_date,01/09/2003,01/09/2003,TP,EXTRACT_MODEL
389057_1526301926_0.html,product,HP 81 E 8GB SP PCI-E FC HBA Manufacturer Part Number AJ762B Serial No: 5CF5430GDD Serial No: 5CF5430GXS,HP 81 E 8GB SP PCI-E FC HBA Manufacturer Part Number AJ762B Serial No: 5CF5430GDD Serial No: 5CF5430GXS,TP,EXTRACT_MODEL
389057_1526301926_0.html,product,CDW CUSTOM HW SRVR REQ4443 Manufacturer Part Number REQ4443,CDW CUSTOM HW SRVR REQ4443 Manufacturer Part Number REQ4443,TP,EXTRACT_MODEL
389057_1526301926_0.html,product,HP GEN8 600GB 6GSAS 10K 2.5 SC ENT Manufacturer Part Number 652583-B21 Serial No: 6C3539E6BM Serial No: 6C3539E659,HP GEN8 600GB 6GSAS 10K 2.5 SC ENT Manufacturer Part Number 652583-B21 Serial No: 6C3539E6BM Serial No: 6C3539E659,TP,EXTRACT_MODEL
389057_1526301926_0.html,product,HP DL380 GEN9 24SFF CUSTOM SRV Manufacturer Part Number EB172843 Serial No: MXQ5510015,HP DL380 GEN9 24SFF CUSTOM SRV Manufacturer Part Number EB172843 Serial No: MXQ5510015,TP,EXTRACT_MODEL
389057_1526301926_0.html,product,HP ETHERNET 10GB 2P 560SFP ADAPTER Manufacturer Part Number 665249-B21 Serial No: MYI5410HLX,HP ETHERNET 10GB 2P 560SFP ADAPTER Manufacturer Part Number 665249-B21 Serial No: MYI5410HLX,TP,EXTRACT_MODEL
389057_1526301926_0.html,quantity,2.00,2,"FP,FN",FAIL_MODEL
389057_1526301926_0.html,quantity,1.00,1,"FP,FN",FAIL_MODEL
389057_1526301926_0.html,quantity,2.00,2,"FP,FN",FAIL_MODEL
389057_1526301926_0.html,quantity,1.00,1,"FP,FN",FAIL_MODEL
389057_1526301926_0.html,quantity,1.00,1,"FP,FN",FAIL_MODEL
389057_1526301926_0.html,quantity,,3901765,FP,FAIL_MODEL
389057_1526301926_0.html,total_amount,436953.61,"436,953.61","FP,FN",FAIL_MODEL
389057_1526301926_0.html,price,287.99,287.99,TP,EXTRACT_MODEL
389057_1526301926_0.html,price,482.04,482.04,TP,EXTRACT_MODEL
389057_1526301926_0.html,price,224.54,224.54,TP,EXTRACT_MODEL
389057_1526301926_0.html,price,0.00,0.00,TP,EXTRACT_MODEL
389057_1526301926_0.html,price,12021.83,"12,021.83","FP,FN",FAIL_MODEL
389057_1526301926_0.html,supplier_name,Wilson-Lewis,Wilson-Lewis,TP,EXTRACT_MODEL
389057_1526301926_0.html,invoice_number,PPG5304,PPG5304,TP,EXTRACT_MODEL
389057_1526301926_0.html,email,sjkw@koew.com,sjkw@koew.com,TP,EXTRACT_MODEL
389057_1526301926_0.html,invoice_date,07/21/1989,07/21/89,"FP,FN",FAIL_MODEL
389842_advanced_1526302224_0.html,product,Vel nihil quidem aspernatur laborum. Vel nihil quidem aspernatur laborum. Quae ab sapiente sunt.,Vel nihil quidem aspernatur laborum. Vel nihil quidem aspernatur laborum. Quae ab sapiente sunt.,TP,EXTRACT_MODEL
389842_advanced_1526302224_0.html,product,Expedita dignissimos dignissimos modi. Expedita dignissimos dignissimos modi. Officiis earum quas repudiandae dolore modi accusamus.,Expedita dignissimos dignissimos modi. Expedita dignissimos dignissimos modi. Officiis earum quas repudiandae dolore modi accusamus.,TP,EXTRACT_MODEL
389842_advanced_1526302224_0.html,quantity,,5907862,FP,FAIL_MODEL
389842_advanced_1526302224_0.html,quantity,,116.78,FP,FAIL_MODEL
389842_advanced_1526302224_0.html,quantity,,3518506,FP,FAIL_MODEL
389842_advanced_1526302224_0.html,quantity,,0830889,FP,FAIL_MODEL
389842_advanced_1526302224_0.html,quantity,,194.75,FP,FAIL_MODEL
389842_advanced_1526302224_0.html,total_amount,3266.00,,FN,FAIL_MODEL
389842_advanced_1526302224_0.html,price,169.21,169.21,TP,EXTRACT_MODEL
389842_advanced_1526302224_0.html,price,79.98,79.98,TP,EXTRACT_MODEL
389842_advanced_1526302224_0.html,supplier_name,Lucas-Wang LLC,Lucas-Wang,"FP,FN",FAIL_MODEL
389842_advanced_1526302224_0.html,invoice_number,YAO7789,YAO7789,TP,EXTRACT_MODEL
389842_advanced_1526302224_0.html,email,achremittance@cdw.com,achremittance@cdw.com,TP,EXTRACT_MODEL
389842_advanced_1526302224_0.html,invoice_date,05/03/2018,05/03/18,"FP,FN",FAIL_MODEL
doc00123720180117122026.html,product,Enormous Wool Shirt,Enormous Wool Shirt,TP,EXTRACT_MODEL
doc00123720180117122026.html,product,Intelligent Bronze Chair,Intelligent Bronze Chair,TP,EXTRACT_MODEL
doc00123720180117122026.html,product,Heavy Duty Wool Bottle,Heavy Duty Wool Bottle,TP,EXTRACT_MODEL
doc00123720180117122026.html,product,Intelligent Wooden Computer,Intelligent Wooden Computer,TP,EXTRACT_MODEL
doc00123720180117122026.html,quantity,15.00,15,"FP,FN",FAIL_MODEL
doc00123720180117122026.html,quantity,59.00,59,"FP,FN",FAIL_MODEL
doc00123720180117122026.html,quantity,39.00,39,"FP,FN",FAIL_MODEL
doc00123720180117122026.html,quantity,39.00,39,"FP,FN",FAIL_MODEL
doc00123720180117122026.html,total_amount,113093.82,"113,093.82","FP,FN",FAIL_MODEL
doc00123720180117122026.html,price,730.14,730.14,TP,EXTRACT_MODEL
doc00123720180117122026.html,price,761.52,761.52,TP,EXTRACT_MODEL
doc00123720180117122026.html,price,481.68,481.68,TP,EXTRACT_MODEL
doc00123720180117122026.html,price,349.09,349.09,TP,EXTRACT_MODEL
doc00123720180117122026.html,supplier_name,Blanda Inc,Blanda Inc,TP,EXTRACT_MODEL
doc00123720180117122026.html,invoice_number,7536317931,7536317931,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Synergistic Cotton Watch,Synergistic Cotton Watch,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Gorgeous Iron Keyboard,Gorgeous Iron Keyboard,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Enormous Marble Shirt,Enormous Marble Shirt,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Ergonomic Wool Plate,Ergonomic Wool Plate,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Heavy Duty Copper Shoes,Heavy Duty Copper Shoes,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Ergonomic Linen Wallet,Ergonomic Linen Wallet,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Durable Leather Plate,Durable Leather Plate,TP,EXTRACT_MODEL
doc00124120180117122213.html,product,Aerodynamic Paper Lamp,Aerodynamic Paper Lamp,TP,EXTRACT_MODEL
doc00124120180117122213.html,quantity,71.00,71,"FP,FN",FAIL_MODEL
doc00124120180117122213.html,quantity,83.00,83,"FP,FN",FAIL_MODEL
doc00124120180117122213.html,quantity,82.00,82,"FP,FN",FAIL_MODEL
doc00124120180117122213.html,quantity,12.00,12,"FP,FN",FAIL_MODEL
doc00124120180117122213.html,quantity,35.00,35,"FP,FN",FAIL_MODEL
doc00124120180117122213.html,quantity,42.00,42,"FP,FN",FAIL_MODEL
